Sample,Lighting,R,G,B
19 ml water + 0ml water and 0ml red,Normal light,3,3,9
19 ml water + 0ml water and 0ml red,Normal light,3,3,9
19 ml water + 0ml water and 0ml red,Normal light,3,3,9
19 ml water + 0ml water and 0ml red,Normal light,3,3,9
19 ml water + 0ml water and 0ml red,Normal light,3,3,9
19 ml water + 0ml water and 0ml red,Dark,2,3,8
19 ml water + 0ml water and 0ml red,Dark,2,3,8
19 ml water + 0ml water and 0ml red,Dark,2,3,8
19 ml water + 0ml water and 0ml red,Dark,2,3,8
19 ml water + 0ml water and 0ml red,Dark,2,3,8
19 ml water + 0ml water and 0ml red,Dark with backlight,153,89,103
19 ml water + 0ml water and 0ml red,Dark with backlight,153,89,103
19 ml water + 0ml water and 0ml red,Dark with backlight,153,89,103
19 ml water + 0ml water and 0ml red,Dark with backlight,153,89,103
19 ml water + 0ml water and 0ml red,Dark with backlight,153,89,103
19 ml base water + 0ml water and 2ml red,Normal light,3,2,7
19 ml base water + 0ml water and 2ml red,Normal light,3,2,7
19 ml base water + 0ml water and 2ml red,Normal light,3,2,7
19 ml base water + 0ml water and 2ml red,Normal light,3,2,7
19 ml base water + 0ml water and 2ml red,Normal light,3,2,7
19 ml base water + 0ml water and 2ml red,Dark,2,2,7
19 ml base water + 0ml water and 2ml red,Dark,2,2,7
19 ml base water + 0ml water and 2ml red,Dark,2,2,7
19 ml base water + 0ml water and 2ml red,Dark,2,2,7
19 ml base water + 0ml water and 2ml red,Dark,2,2,7
19 ml base water + 0ml water and 2ml red,Dark with backlight,127,33,45
19 ml base water + 0ml water and 2ml red,Dark with backlight,128,35,47
19 ml base water + 0ml water and 2ml red,Dark with backlight,127,34,47
19 ml base water + 0ml water and 2ml red,Dark with backlight,129,36,49
19 ml base water + 0ml water and 2ml red,Dark with backlight,129,36,49
19 ml base water + 2ml water and 2ml red,Normal light,2,2,7
19 ml base water + 2ml water and 2ml red,Normal light,2,2,7
19 ml base water + 2ml water and 2ml red,Normal light,3,2,7
19 ml base water + 2ml water and 2ml red,Normal light,2,2,7
19 ml base water + 2ml water and 2ml red,Normal light,2,3,7
19 ml base water + 2ml water and 2ml red,Dark,2,2,7
19 ml base water + 2ml water and 2ml red,Dark,2,2,7
19 ml base water + 2ml water and 2ml red,Dark,2,2,7
19 ml base water + 2ml water and 2ml red,Dark,2,2,7
19 ml base water + 2ml water and 2ml red,Dark,2,2,7
19 ml base water + 2ml water and 2ml red,Dark with backlight,127,36,49
19 ml base water + 2ml water and 2ml red,Dark with backlight,127,36,49
19 ml base water + 2ml water and 2ml red,Dark with backlight,127,36,49
19 ml base water + 2ml water and 2ml red,Dark with backlight,127,36,49
19 ml base water + 2ml water and 2ml red,Dark with backlight,127,36,49
19 ml base water + 2ml water and 4ml red,Normal light,2,2,7
19 ml base water + 2ml water and 4ml red,Normal light,2,2,7
19 ml base water + 2ml water and 4ml red,Normal light,3,2,7
19 ml base water + 2ml water and 4ml red,Normal light,3,2,7
19 ml base water + 2ml water and 4ml red,Normal light,2,2,7
19 ml base water + 2ml water and 4ml red,Dark,1,2,6
19 ml base water + 2ml water and 4ml red,Dark,2,2,6
19 ml base water + 2ml water and 4ml red,Dark,1,2,6
19 ml base water + 2ml water and 4ml red,Dark,2,2,6
19 ml base water + 2ml water and 4ml red,Dark,1,2,6
19 ml base water + 2ml water and 4ml red,Dark with backlight,120,27,37
19 ml base water + 2ml water and 4ml red,Dark with backlight,121,28,38
19 ml base water + 2ml water and 4ml red,Dark with backlight,122,28,39
19 ml base water + 2ml water and 4ml red,Dark with backlight,121,28,38
19 ml base water + 2ml water and 4ml red,Dark with backlight,122,28,38
